sig_names	sps_overlaps	GDS5027	GDS4051	GSE21653	GDS4083	GDS4114	GDS4766	GDS4093
TAVAZOIE	0	0.0342107489236901	0.00053200550513925	4.98864377164726e-05	0.000747033553946757	0.000427492772118359	0.0706448247925679	0.0353809305930183
VALASTYAN	0	0.000184222272810465	0.000344157853846591	0.00132631329768866	0.000747033553946757	0.000386288006689208	0.0428997945493376	0.00572754723788285
VANTVEER	11	3.12134641637303e-06	3.22564145624377e-05	5.8431931047578e-11	0.000747033553946757	0.000369526729400078	0.00211789642397637	0.0168821355663351
WANG-76	8	0.000328284365045934	3.22564145624377e-05	1.24939214135957e-10	0.000747033553946757	0.00217193853043483	0.0274218559329695	0.0131454937681589
WANG-ALK5T204D	1	1.56910917570065e-09	3.22564145624377e-05	4.77843506276733e-07	0.000747033553946757	0.000212731890900525	0.00302962221163776	0.0480986572234105
WELM	0	0.297037359969625	0.0734883472918225	0.00165207708891771	0.00104526752735863	0.00103830579475923	0.00746232946140244	0.00783282353886037
WEST	2	3.59444750057355e-08	3.22564145624377e-05	1.17130463853433e-07	0.000747033553946757	0.000109730400857872	0.0249862830914183	0.0200403269301783
WHITFIELD	74	1.15881582300612e-10	3.22564145624377e-05	3.03378515894215e-08	0.000747033553946757	0.00166388188795249	0.0042867606075806	0.0133018867715
WONG-ESC	36	1.02914875435838e-05	3.22564145624377e-05	8.15282388435003e-08	0.000747033553946757	0.00171691971653648	0.0170218684201067	0.0116089027938439
WONG-MITOCHON	0	0.000152067014159727	3.22564145624377e-05	1.9246602944097e-05	0.00145058549206845	0.000561178664624559	0.0227402961152996	0.0374447081084097
WONG-PROTEAS	2	2.39037420019363e-07	3.22564145624377e-05	7.69437614281843e-07	0.000747033553946757	0.00197711468910018	0.00238924521727447	0.0203046034346794
YU	0	0.00769990752269118	0.000174886592542093	0.00169002757047961	0.00369115956205821	0.00030261829280776	0.000226185525871322	0.0128908095171566
